,Date,President,Approving,Disapproving,Unsure/NoData,Approve_change,Disapprove_change,Unsure_change,Polarity,Subjectivity,compound,Negative,Neutral,Positive
131,1983-09-05,Ronald Reagan,47,42,11,-2.173913043,3.448275862,-4.761904762,0.03623376623376624,0.4321428571428571,-0.6979,0.166,0.662,0.173
132,1983-11-04,Ronald Reagan,53,37,10,0.0,2.631578947,-11.11111111,0.22287157287157283,0.45404799878484087,0.999,0.163,0.49,0.347
133,1984-01-25,Ronald Reagan,55,37,8,-0.917431193,1.333333333,0.0,0.1713657555255915,0.4661460230722527,1.0,0.087,0.571,0.342
134,1984-01-29,Ronald Reagan,55,36,9,-1.851851852,4.0,-5.882352941,0.15028751803751803,0.46232611832611814,0.9982,0.113,0.581,0.306
135,1984-05-28,Ronald Reagan,55,33,12,-2.803738318,9.589041096,-20.0,0.15856735256085913,0.4629017447199265,0.9997,0.142,0.559,0.299
136,1984-06-03,Ronald Reagan,55,33,12,-2.803738318,9.589041096,-20.0,0.20461649802140602,0.5134650625448172,0.9999,0.054,0.612,0.334
137,1984-06-06,Ronald Reagan,55,33,12,-2.803738318,9.589041096,-20.0,0.13295398759316285,0.5148580800642657,0.9992,0.171,0.541,0.288
138,1984-08-23,Ronald Reagan,57,36,7,-1.785714286,-5.882352941,30.0,0.0832112301784433,0.431145885080312,0.9999,0.11,0.666,0.224
139,1984-10-21,Ronald Reagan,61,31,8,-0.826446281,0.0,5.882352941,0.10612901411206495,0.4401661408271579,0.9979,0.16,0.635,0.205
140,1985-01-21,Ronald Reagan,64,28,8,-10.34482759,17.64705882,0.0,0.1544250096881676,0.4068230015598439,0.9999,0.11,0.553,0.337
141,1985-05-05,Ronald Reagan,55,37,8,9.090909091,-23.33333333,15.78947368,-0.06400721500721504,0.5631640211640213,-0.9979,0.299,0.49,0.21
142,1985-11-21,Ronald Reagan,63,29,8,0.787401575,-9.433962264,20.0,0.15883011664261662,0.4708822923108636,0.9998,0.091,0.6,0.309
143,1986-09-14,Ronald Reagan,63,26,11,-14.54545455,28.76712329,-29.41176471,0.11976390114739628,0.4701427267446686,0.9994,0.149,0.605,0.247
144,1986-10-13,Ronald Reagan,63,29,8,-32.63157895,33.33333333,11.11111111,0.0500305853566723,0.3864744382601526,0.9997,0.105,0.646,0.249
145,1986-10-22,Ronald Reagan,63,29,8,-32.63157895,33.33333333,11.11111111,0.07523221749514857,0.42744961934617104,0.999,0.127,0.611,0.261
146,1987-03-04,Ronald Reagan,43,46,11,9.473684211,-5.747126437,-22.22222222,0.12063117221320349,0.4420927466630591,0.9995,0.071,0.691,0.238
147,1987-06-12,Ronald Reagan,53,40,7,-12.76595745,4.761904762,36.36363636,0.15758759469696978,0.45408361892736876,0.9999,0.095,0.612,0.293
148,1988-05-31,Ronald Reagan,51,39,10,-3.03030303,-4.0,23.07692308,0.16253523097273084,0.4599761985699492,1.0,0.091,0.659,0.25
149,1988-08-15,Ronald Reagan,53,37,10,-0.952380952,1.333333333,0.0,0.1496212624000081,0.4444837373234585,0.9999,0.101,0.601,0.298
150,1988-09-26,Ronald Reagan,54,37,9,0.0,-1.369863014,5.263157895,0.07185685340300725,0.403994103332565,0.9999,0.142,0.589,0.269
151,1988-11-11,Ronald Reagan,57,35,8,-5.555555556,2.777777778,5.882352941,0.12976827094474153,0.41960784313725485,0.9941,0.092,0.524,0.385
152,1989-01-20,George H. W. Bush,51,6,43,14.28571429,58.62068966,-65.38461538,0.22332986534643992,0.540103401816109,0.9999,0.068,0.555,0.377
153,1989-12-20,George H. W. Bush,80,11,9,-9.589041096,31.25,18.18181818,0.022555746140651797,0.36323613493424806,0.9851,0.159,0.599,0.242
154,1990-09-11,George H. W. Bush,73,17,10,-9.77443609,24.44444444,9.090909091,0.10046568441305279,0.47395379230905565,0.9998,0.125,0.602,0.273
155,1990-10-01,George H. W. Bush,66,25,9,-21.10091743,28.57142857,14.28571429,0.03394522769522772,0.40599576849576846,0.9997,0.131,0.6,0.269
156,1991-01-16,George H. W. Bush,82,12,6,-0.613496933,11.11111111,-20.0,0.08751275127512752,0.4858703013158458,0.9969,0.178,0.569,0.253
157,1991-01-29,George H. W. Bush,82,15,3,-3.144654088,6.25,33.33333333,0.09327663332835745,0.4466342986515404,0.9999,0.133,0.585,0.282
158,1991-02-27,George H. W. Bush,89,8,3,-2.89017341,5.882352941,40.0,0.16377410468319567,0.4000762495080677,0.9939,0.148,0.599,0.254
159,1991-03-06,George H. W. Bush,87,8,5,-2.352941176,15.78947368,9.090909091,0.12425423061786701,0.43317163228927946,0.9994,0.163,0.578,0.259
160,1991-07-31,George H. W. Bush,71,22,7,0.699300699,-7.317073171,12.5,0.13111844155844168,0.4290306796906795,1.0,0.066,0.709,0.225
161,1992-01-28,George H. W. Bush,47,48,5,-13.25301205,-1.052631579,54.54545455,0.09662180032414638,0.4341453390207053,0.9999,0.108,0.657,0.234
162,1992-08-20,George H. W. Bush,40,54,6,-2.564102564,0.917431193,7.692307692,0.12258651928595737,0.41301082656419785,0.9999,0.102,0.661,0.237
163,1992-10-11,George H. W. Bush,34,56,10,26.08695652,-20.43010753,-33.33333333,0.10395121517781629,0.4369384876207529,1.0,0.113,0.697,0.191
164,1992-12-04,George H. W. Bush,49,47,4,6.666666667,-20.51282051,52.94117647,0.043220266575529735,0.4326167253798833,0.9975,0.134,0.607,0.259
165,1992-12-15,George H. W. Bush,49,41,10,6.530612245,-13.80487805,25.0,0.0664204223356009,0.4020480098605098,0.9998,0.152,0.567,0.281
